expression,fitness
0.025688073,0.660358566
0.03853211,0.660358566
0.051376147,0.661354582
0.064220183,0.662350598
0.07706422,0.662350598
0.089908257,0.663346614
0.102752294,0.664342629
0.11559633,0.664342629
0.128440367,0.664342629
0.141284404,0.666334661
0.15412844,0.666334661
0.166972477,0.666334661
0.179816514,0.668326693
0.19266055,0.668326693
0.205504587,0.669322709
0.218348624,0.670318725
0.231192661,0.670318725
0.244036697,0.671314741
0.256880734,0.672310757
0.269724771,0.672310757
0.282568807,0.673306773
0.295412844,0.674302789
0.308256881,0.674302789
0.321100917,0.676294821
0.333944954,0.676294821
0.346788991,0.676294821
0.359633028,0.678286853
0.372477064,0.678286853
0.385321101,0.679282869
0.398165138,0.680278884
0.411009174,0.680278884
0.423853211,0.682270916
0.436697248,0.682270916
0.449541284,0.683266932
0.462385321,0.684262948
0.475229358,0.684262948
0.488073394,0.68625498
0.500917431,0.68625498
0.513761468,0.687250996
0.526605505,0.688247012
0.539449541,0.688247012
0.552293578,0.689243028
0.565137615,0.690239044
0.577981651,0.69123506
0.590825688,0.692231076
0.603669725,0.693227092
0.616513761,0.694223108
0.629357798,0.694223108
0.642201835,0.695219124
0.655045872,0.696215139
0.667889908,0.697211155
0.680733945,0.698207171
0.693577982,0.699203187
0.706422018,0.700199203
0.719266055,0.700199203
0.732110092,0.701195219
0.744954128,0.702191235
0.757798165,0.703187251
0.770642202,0.704183267
0.783486239,0.705179283
0.796330275,0.706175299
0.809174312,0.707171315
0.822018349,0.708167331
0.834862385,0.708167331
0.847706422,0.709163347
0.860550459,0.710159363
0.873394495,0.711155378
0.886238532,0.712151394
0.899082569,0.71314741
0.911926606,0.714143426
0.924770642,0.715139442
0.937614679,0.716135458
0.950458716,0.717131474
0.963302752,0.71812749
0.976146789,0.719123506
0.988990826,0.720119522
1.001834862,0.721115538
1.014678899,0.722111554
1.027522936,0.72310757
1.040366972,0.72310757
1.053211009,0.724103586
1.066055046,0.725099602
1.078899083,0.726095618
1.091743119,0.727091633
1.104587156,0.728087649
1.117431193,0.729083665
1.130275229,0.730079681
1.143119266,0.731075697
1.155963303,0.732071713
1.168807339,0.733067729
1.181651376,0.734063745
1.194495413,0.735059761
1.20733945,0.736055777
1.220183486,0.737051793
1.233027523,0.738047809
1.24587156,0.739043825
1.258715596,0.740039841
1.271559633,0.741035857
1.28440367,0.742031873
1.297247706,0.743027888
1.310091743,0.744023904
1.32293578,0.74501992
1.335779817,0.746015936
1.348623853,0.747011952
1.36146789,0.748007968
1.374311927,0.749003984
1.387155963,0.75
1.4,0.750996016
1.412844037,0.751992032
1.425688073,0.752988048
1.43853211,0.753984064
1.451376147,0.75498008
1.464220183,0.756972112
1.47706422,0.756972112
1.489908257,0.758964143
1.502752294,0.758964143
1.51559633,0.760956175
1.528440367,0.760956175
1.541284404,0.762948207
1.55412844,0.762948207
1.566972477,0.764940239
1.579816514,0.765936255
1.59266055,0.766932271
1.605504587,0.767928287
1.618348624,0.768924303
1.631192661,0.769920319
1.644036697,0.770916335
1.656880734,0.771912351
1.669724771,0.772908367
1.682568807,0.773904382
1.695412844,0.774900398
1.708256881,0.775896414
1.721100917,0.77689243
1.733944954,0.777888446
1.746788991,0.778884462
1.759633028,0.779880478
1.772477064,0.780876494
1.785321101,0.78187251
1.798165138,0.782868526
1.811009174,0.783864542
1.823853211,0.784860558
1.836697248,0.785856574
1.849541284,0.78685259
1.862385321,0.787848606
1.875229358,0.788844622
1.888073394,0.789840637
1.900917431,0.790836653
1.913761468,0.791832669
1.926605505,0.792828685
1.939449541,0.793824701
1.952293578,0.794820717
1.965137615,0.795816733
1.977981651,0.796812749
1.990825688,0.797808765
2.003669725,0.798804781
2.016513761,0.799800797
2.029357798,0.800796813
2.042201835,0.801792829
2.055045872,0.802788845
2.067889908,0.803784861
2.080733945,0.804780876
2.093577982,0.805776892
2.106422018,0.806772908
2.119266055,0.807768924
2.132110092,0.80876494
2.144954128,0.80876494
2.157798165,0.810756972
2.170642202,0.810756972
2.183486239,0.811752988
2.196330275,0.812749004
2.209174312,0.81374502
2.222018349,0.814741036
2.234862385,0.815737052
2.247706422,0.816733068
2.260550459,0.817729084
2.273394495,0.8187251
2.286238532,0.819721116
2.299082569,0.820717131
2.311926606,0.821713147
2.324770642,0.821713147
2.337614679,0.822709163
2.350458716,0.823705179
2.363302752,0.824701195
2.376146789,0.825697211
2.388990826,0.826693227
2.401834862,0.827689243
2.414678899,0.827689243
2.427522936,0.829681275
2.440366972,0.829681275
2.453211009,0.830677291
2.466055046,0.831673307
2.478899083,0.832669323
2.491743119,0.833665339
2.504587156,0.833665339
2.517431193,0.834661355
2.530275229,0.835657371
2.543119266,0.836653386
2.555963303,0.837649402
2.568807339,0.837649402
2.581651376,0.838645418
2.594495413,0.839641434
2.60733945,0.839641434
2.620183486,0.841633466
2.633027523,0.841633466
2.64587156,0.842629482
2.658715596,0.843625498
2.671559633,0.843625498
2.68440367,0.844621514
2.697247706,0.84561753
2.710091743,0.84561753
2.72293578,0.847609562
2.735779817,0.847609562
2.748623853,0.847609562
2.76146789,0.849601594
2.774311927,0.849601594
2.787155963,0.849601594
2.8,0.851593625
2.812844037,0.851593625
2.825688073,0.851593625
2.83853211,0.853585657
2.851376147,0.853585657
2.864220183,0.853585657
2.87706422,0.855577689
2.889908257,0.855577689
2.902752294,0.855577689
2.91559633,0.856573705
2.928440367,0.857569721
2.941284404,0.857569721
2.95412844,0.857569721
2.966972477,0.859561753
2.979816514,0.859561753
2.99266055,0.859561753
3.005504587,0.859561753
3.018348624,0.861553785
3.031192661,0.861553785
3.044036697,0.861553785
3.056880734,0.861553785
3.069724771,0.863545817
3.082568807,0.863545817
3.095412844,0.863545817
3.108256881,0.863545817
3.121100917,0.865537849
3.133944954,0.865537849
3.146788991,0.865537849
3.159633028,0.865537849
3.172477064,0.86752988
3.185321101,0.86752988
3.198165138,0.86752988
3.211009174,0.86752988
3.223853211,0.86752988
3.236697248,0.868525896
3.249541284,0.869521912
3.262385321,0.869521912
3.275229358,0.869521912
3.288073394,0.869521912
3.300917431,0.869521912
3.313761468,0.871513944
3.326605505,0.871513944
3.339449541,0.871513944
3.352293578,0.871513944
3.365137615,0.871513944
3.377981651,0.871513944
3.390825688,0.87250996
3.403669725,0.873505976
3.416513761,0.873505976
3.429357798,0.873505976
3.442201835,0.873505976
3.455045872,0.873505976
3.467889908,0.873505976
3.480733945,0.873505976
3.493577982,0.874501992
3.506422018,0.874501992
3.519266055,0.875498008
3.532110092,0.875498008
3.544954128,0.875498008
3.557798165,0.875498008
3.570642202,0.875498008
3.583486239,0.875498008
3.596330275,0.875498008
3.609174312,0.875498008
3.622018349,0.875498008
3.634862385,0.875498008
3.647706422,0.875498008
3.660550459,0.875498008
3.673394495,0.875498008
3.686238532,0.875498008
3.699082569,0.875498008
3.711926606,0.875498008
3.724770642,0.875498008
3.737614679,0.875498008
3.750458716,0.875498008
3.763302752,0.875498008
3.776146789,0.875498008
3.788990826,0.875498008
3.801834862,0.875498008
3.814678899,0.875498008
3.827522936,0.875498008
3.840366972,0.875498008
3.853211009,0.875498008
3.866055046,0.875498008
3.878899083,0.875498008
3.891743119,0.875498008
3.904587156,0.875498008
3.917431193,0.875498008
3.930275229,0.875498008
3.943119266,0.875498008
3.955963303,0.875498008
3.968807339,0.875498008
3.981651376,0.874501992
3.994495413,0.874501992
4.00733945,0.873505976
4.020183486,0.873505976
4.033027523,0.873505976
4.04587156,0.873505976
4.058715596,0.873505976
4.071559633,0.873505976
4.08440367,0.873505976
4.097247706,0.873505976
4.110091743,0.87250996
4.12293578,0.871513944
4.135779817,0.871513944
4.148623853,0.871513944
4.16146789,0.871513944
4.174311927,0.871513944
4.187155963,0.871513944
4.2,0.869521912
4.212844037,0.869521912
4.225688073,0.869521912
4.23853211,0.869521912
4.251376147,0.869521912
4.264220183,0.869521912
4.27706422,0.86752988
4.289908257,0.86752988
4.302752294,0.86752988
4.31559633,0.86752988
4.328440367,0.86752988
4.341284404,0.865537849
4.35412844,0.865537849
4.366972477,0.865537849
4.379816514,0.865537849
4.39266055,0.863545817
4.405504587,0.863545817
4.418348624,0.863545817
4.431192661,0.863545817
4.444036697,0.862549801
4.456880734,0.861553785
4.469724771,0.861553785
4.482568807,0.861553785
4.495412844,0.859561753
4.508256881,0.859561753
4.521100917,0.859561753
4.533944954,0.859561753
4.546788991,0.857569721
4.559633028,0.857569721
4.572477064,0.857569721
4.585321101,0.856573705
4.598165138,0.855577689
4.611009174,0.855577689
4.623853211,0.855577689
4.636697248,0.853585657
4.649541284,0.853585657
4.662385321,0.853585657
4.675229358,0.851593625
4.688073394,0.851593625
4.700917431,0.851593625
4.713761468,0.849601594
4.726605505,0.849601594
4.739449541,0.849601594
4.752293578,0.847609562
4.765137615,0.847609562
4.777981651,0.847609562
4.790825688,0.84561753
4.803669725,0.84561753
4.816513761,0.844621514
4.829357798,0.843625498
4.842201835,0.843625498
4.855045872,0.842629482
4.867889908,0.841633466
4.880733945,0.84063745
4.893577982,0.839641434
4.906422018,0.839641434
4.919266055,0.838645418
4.932110092,0.837649402
4.944954128,0.837649402
4.957798165,0.835657371
4.970642202,0.835657371
4.983486239,0.834661355
4.996330275,0.833665339
5.009174312,0.832669323
5.022018349,0.831673307
5.034862385,0.831673307
5.047706422,0.830677291
5.060550459,0.829681275
5.073394495,0.828685259
5.086238532,0.827689243
5.099082569,0.826693227
5.111926606,0.825697211
5.124770642,0.824701195
5.137614679,0.823705179
5.150458716,0.823705179
5.163302752,0.822709163
5.176146789,0.821713147
5.188990826,0.820717131
5.201834862,0.819721116
5.214678899,0.8187251
5.227522936,0.817729084
5.240366972,0.816733068
5.253211009,0.815737052
5.266055046,0.814741036
5.278899083,0.81374502
5.291743119,0.812749004
5.304587156,0.811752988
5.317431193,0.810756972
5.330275229,0.809760956
5.343119266,0.80876494
5.355963303,0.807768924
5.368807339,0.806772908
5.381651376,0.805776892
5.394495413,0.804780876
5.40733945,0.803784861
5.420183486,0.802788845
5.433027523,0.801792829
5.44587156,0.800796813
5.458715596,0.799800797
5.471559633,0.798804781
5.48440367,0.796812749
5.497247706,0.796812749
5.510091743,0.794820717
5.52293578,0.794820717
5.535779817,0.792828685
5.548623853,0.791832669
5.56146789,0.790836653
5.574311927,0.789840637
5.587155963,0.788844622
5.6,0.78685259
5.612844037,0.78685259
5.625688073,0.784860558
5.63853211,0.784860558
5.651376147,0.782868526
5.664220183,0.78187251
5.67706422,0.780876494
5.689908257,0.778884462
5.702752294,0.778884462
5.71559633,0.77689243
5.728440367,0.77689243
5.741284404,0.774900398
5.75412844,0.773904382
5.766972477,0.772908367
5.779816514,0.770916335
5.79266055,0.770916335
5.805504587,0.768924303
5.818348624,0.767928287
5.831192661,0.766932271
5.844036697,0.764940239
5.856880734,0.764940239
5.869724771,0.762948207
5.882568807,0.760956175
5.895412844,0.760956175
5.908256881,0.758964143
5.921100917,0.758964143
5.933944954,0.756972112
5.946788991,0.75498008
5.959633028,0.75498008
5.972477064,0.752988048
5.985321101,0.750996016
5.998165138,0.750996016
6.011009174,0.749003984
6.023853211,0.749003984
6.036697248,0.747011952
6.049541284,0.74501992
6.062385321,0.74501992
6.075229358,0.743027888
6.088073394,0.741035857
6.100917431,0.741035857
6.113761468,0.739043825
6.126605505,0.737051793
6.139449541,0.737051793
6.152293578,0.735059761
6.165137615,0.733067729
6.177981651,0.733067729
6.190825688,0.731075697
6.203669725,0.729083665
6.216513761,0.729083665
6.229357798,0.727091633
6.242201835,0.725099602
6.255045872,0.725099602
6.267889908,0.72310757
6.280733945,0.721115538
6.293577982,0.721115538
6.306422018,0.719123506
6.319266055,0.717131474
6.332110092,0.717131474
6.344954128,0.715139442
6.357798165,0.71314741
6.370642202,0.71314741
6.383486239,0.711155378
6.396330275,0.709163347
6.409174312,0.709163347
6.422018349,0.707171315
6.434862385,0.705179283
6.447706422,0.704183267
6.460550459,0.703187251
6.473394495,0.701195219
6.486238532,0.700199203
6.499082569,0.699203187
6.511926606,0.697211155
6.524770642,0.695219124
6.537614679,0.694223108
6.550458716,0.693227092
6.563302752,0.69123506
6.576146789,0.689243028
6.588990826,0.688247012
6.601834862,0.687250996
6.614678899,0.685258964
6.627522936,0.684262948
6.640366972,0.683266932
6.653211009,0.6812749
6.666055046,0.679282869
6.678899083,0.678286853
6.691743119,0.677290837
6.704587156,0.675298805
6.717431193,0.673306773
6.730275229,0.672310757
6.743119266,0.671314741
6.755963303,0.669322709
6.768807339,0.668326693
6.781651376,0.667330677
6.794495413,0.665338645
6.80733945,0.663346614
6.820183486,0.662350598
6.833027523,0.661354582
6.84587156,0.65936255
6.858715596,0.657370518
6.871559633,0.656374502
6.88440367,0.655378486
6.897247706,0.653386454
6.910091743,0.652390438
6.92293578,0.651394422
6.935779817,0.64940239
6.948623853,0.647410359
6.96146789,0.646414343
6.974311927,0.645418327
6.987155963,0.643426295
7,0.642430279
